meta_prompt,n1,obj1,obj2,chatgpt_out,synthetic_prompt
"one sentence of 5 words about dining table and hot dog, the 5 words should be between double quotes.",5,,,"""a ""hot dog"" on a ""dining table"".""","a sign written on it ""a ""hot dog"" on a ""dining table""."""
"one sentence of 4 words about book and bear, the 4 words should be between double quotes.",4,,,"""book and bear are friends.""","a sign written on it ""book and bear are friends."""
"one sentence of 5 words about pizza and keyboard, the 5 words should be between double quotes.",5,,,"""pizza and keyboard make music.""","a sign written on it ""pizza and keyboard make music."""
"one sentence of 4 words about zebra and sink, the 4 words should be between double quotes.",4,,,"""zebra in the sink.""","a sign written on it ""zebra in the sink."""
"one sentence of 5 words about skis and handbag, the 5 words should be between double quotes.",5,,,"""skiing with a handbag looks chic.""","a sign written on it ""skiing with a handbag looks chic."""
"one sentence of 4 words about keyboard and backpack, the 4 words should be between double quotes.",4,,,"""keyboard and backpack combo.""","a sign written on it ""keyboard and backpack combo."""
"one sentence of 5 words about scissors and bear, the 5 words should be between double quotes.",5,,,"""scissors and bear don't mix.""","a sign written on it ""scissors and bear don't mix."""
"one sentence of 5 words about bowl and baseball bat, the 5 words should be between double quotes.",5,,,"""bowl and baseball bat together.""","a sign written on it ""bowl and baseball bat together."""
"one sentence of 5 words about bus and boat, the 5 words should be between double quotes.",5,,,"""bus and boat travel together.""","a sign written on it ""bus and boat travel together."""
"one sentence of 5 words about person and laptop, the 5 words should be between double quotes.",5,,,"""person uses laptop for work.""","a sign written on it ""person uses laptop for work."""
"one sentence of 5 words about cell phone and orange, the 5 words should be between double quotes.",5,,,"""cell phone and orange don't mix.""","a sign written on it ""cell phone and orange don't mix."""
"one sentence of 5 words about bench and sink, the 5 words should be between double quotes.",5,,,"""bench and sink, united forever.""","a sign written on it ""bench and sink, united forever."""
"one sentence of 4 words about horse and broccoli, the 4 words should be between double quotes.",4,,,"""horse loves broccoli too.""","a sign written on it ""horse loves broccoli too."""
"one sentence of 5 words about train and scissors, the 5 words should be between double quotes.",5,,,"""train beats scissors every time.""","a sign written on it ""train beats scissors every time."""
"one sentence of 5 words about apple and cow, the 5 words should be between double quotes.",5,,,"""apple and cow have nothing in common.""","a sign written on it ""apple and cow have nothing in common."""
"one sentence of 6 words about sheep and bird, the 6 words should be between double quotes.",6,,,"""sheep and birds peacefully coexist.""","a sign written on it ""sheep and birds peacefully coexist."""
"one sentence of 6 words about vase and pizza, the 6 words should be between double quotes.",6,,,"""vase and pizza, what a combo!""","a sign written on it ""vase and pizza, what a combo!"""
"one sentence of 5 words about bench and carrot, the 5 words should be between double quotes.",5,,,"""bench and carrot don't mix.""","a sign written on it ""bench and carrot don't mix."""
"one sentence of 6 words about cake and refrigerator, the 6 words should be between double quotes.",6,,,"""cake belongs in the refrigerator.""","a sign written on it ""cake belongs in the refrigerator."""
"one sentence of 6 words about knife and microwave, the 6 words should be between double quotes.",6,,,"""knife in microwave? not advised!""","a sign written on it ""knife in microwave? not advised!"""
"one sentence of 5 words about toaster and traffic light, the 5 words should be between double quotes.",5,,,"""toaster and traffic light contrast.""","a sign written on it ""toaster and traffic light contrast."""
"one sentence of 4 words about handbag and umbrella, the 4 words should be between double quotes.",4,,,"""carrying ""both"" umbrella ""and"" handbag"".","a sign written on it ""carrying ""both"" umbrella ""and"" handbag""."
"one sentence of 4 words about truck and skateboard, the 4 words should be between double quotes.",4,,,"""trucks and skateboards mix.""","a sign written on it ""trucks and skateboards mix."""
"one sentence of 4 words about umbrella and backpack, the 4 words should be between double quotes.",4,,,"""umbrella and backpack go together.""","a sign written on it ""umbrella and backpack go together."""
"one sentence of 6 words about mouse and donut, the 6 words should be between double quotes.",6,,,"""mouse loves donut, yum yum!""","a sign written on it ""mouse loves donut, yum yum!"""
"one sentence of 6 words about stop sign and baseball glove, the 6 words should be between double quotes.",6,,,"""stop sign and baseball glove.""","a sign written on it ""stop sign and baseball glove."""
"one sentence of 6 words about stop sign and laptop, the 6 words should be between double quotes.",6,,,"""stop sign and laptop: contrast.""","a sign written on it ""stop sign and laptop: contrast."""
"one sentence of 4 words about umbrella and giraffe, the 4 words should be between double quotes.",4,,,"""umbrella and giraffe mix.""","a sign written on it ""umbrella and giraffe mix."""
"one sentence of 5 words about book and horse, the 5 words should be between double quotes.",5,,,"""book and horse make perfect pair.""","a sign written on it ""book and horse make perfect pair."""
"one sentence of 5 words about remote and laptop, the 5 words should be between double quotes.",5,,,"""computers: laptop and remote.""","a sign written on it ""computers: laptop and remote."""
"one sentence of 4 words about remote and skis, the 4 words should be between double quotes.",4,,,"""remote skiing is exhilarating.""","a sign written on it ""remote skiing is exhilarating."""
"one sentence of 6 words about pizza and clock, the 6 words should be between double quotes.",6,,,"""pizza is timeless, like a clock.""","a sign written on it ""pizza is timeless, like a clock."""
"one sentence of 5 words about train and sheep, the 5 words should be between double quotes.",5,,,"""train whistles scare sheep away.""","a sign written on it ""train whistles scare sheep away."""
"one sentence of 4 words about dining table and baseball glove, the 4 words should be between double quotes.",4,,,"""dining ""table"" and ""glove"".","a sign written on it ""dining ""table"" and ""glove""."
"one sentence of 4 words about bowl and bear, the 4 words should be between double quotes.",4,,,"""bowl and bear cuddle.""","a sign written on it ""bowl and bear cuddle."""
"one sentence of 4 words about fire hydrant and keyboard, the 4 words should be between double quotes.",4,,,"""fire hydrants and keyboards.""","a sign written on it ""fire hydrants and keyboards."""
"one sentence of 6 words about scissors and person, the 6 words should be between double quotes.",6,,,"""person cuts with scissors skillfully.""","a sign written on it ""person cuts with scissors skillfully."""
"one sentence of 6 words about bench and baseball bat, the 6 words should be between double quotes.",6,,,"""bench and baseball bat go together.""","a sign written on it ""bench and baseball bat go together."""
"one sentence of 6 words about sandwich and dog, the 6 words should be between double quotes.",6,,,"""a sandwich and a dog, yum!""","a sign written on it ""a sandwich and a dog, yum!"""
"one sentence of 5 words about motorcycle and bowl, the 5 words should be between double quotes.",5,,,"""riding a motorcycle in a bowl.""","a sign written on it ""riding a motorcycle in a bowl."""
"one sentence of 6 words about bird and pizza, the 6 words should be between double quotes.",6,,,"""bird on pizza? no, thanks!""","a sign written on it ""bird on pizza? no, thanks!"""
"one sentence of 5 words about frisbee and airplane, the 5 words should be between double quotes.",5,,,"""flying discs and airplanes soar!""","a sign written on it ""flying discs and airplanes soar!"""
"one sentence of 5 words about bicycle and giraffe, the 5 words should be between double quotes.",5,,,"""giraffe rides a bicycle!""","a sign written on it ""giraffe rides a bicycle!"""
"one sentence of 6 words about banana and apple, the 6 words should be between double quotes.",6,,,"""banana and apple, a delicious duo.""","a sign written on it ""banana and apple, a delicious duo."""
"one sentence of 4 words about umbrella and carrot, the 4 words should be between double quotes.",4,,,"""umbrella and carrot, huh?""","a sign written on it ""umbrella and carrot, huh?"""
"one sentence of 5 words about horse and scissors, the 5 words should be between double quotes.",5,,,"""horse beats scissors every time.""","a sign written on it ""horse beats scissors every time."""
"one sentence of 5 words about wine glass and couch, the 5 words should be between double quotes.",5,,,"""wine glass on couch looks cozy.""","a sign written on it ""wine glass on couch looks cozy."""
"one sentence of 5 words about train and wine glass, the 5 words should be between double quotes.",5,,,"""train rides and wine glasses.""","a sign written on it ""train rides and wine glasses."""
"one sentence of 4 words about car and bed, the 4 words should be between double quotes.",4,,,"""car sleeps, bed drives.""","a sign written on it ""car sleeps, bed drives."""
"one sentence of 4 words about cat and tv, the 4 words should be between double quotes.",4,,,"""cats love watching tv.""","a sign written on it ""cats love watching tv."""
"one sentence of 6 words about carrot and couch, the 6 words should be between double quotes.",6,,,"""carrot on couch - not ideal!""","a sign written on it ""carrot on couch - not ideal!"""
"one sentence of 5 words about baseball bat and clock, the 5 words should be between double quotes.",5,,,"""baseball bat and clock - odd mix.""","a sign written on it ""baseball bat and clock - odd mix."""
"one sentence of 6 words about laptop and cell phone, the 6 words should be between double quotes.",6,,,"""laptops and cell phones are essential.""","a sign written on it ""laptops and cell phones are essential."""
"one sentence of 4 words about cup and motorcycle, the 4 words should be between double quotes.",4,,,"""cup and motorcycle collide!""","a sign written on it ""cup and motorcycle collide!"""
"one sentence of 6 words about apple and snowboard, the 6 words should be between double quotes.",6,,,"""apple and snowboard make winter fun.""","a sign written on it ""apple and snowboard make winter fun."""
"one sentence of 4 words about spoon and teddy bear, the 4 words should be between double quotes.",4,,,"""cuddly duo cuddling.""","a sign written on it ""cuddly duo cuddling."""
"one sentence of 5 words about skateboard and skis, the 5 words should be between double quotes.",5,,,"""skateboarding and skiing are fun!""","a sign written on it ""skateboarding and skiing are fun!"""
"one sentence of 6 words about apple and fork, the 6 words should be between double quotes.",6,,,"""apple and fork, an unlikely pair.""","a sign written on it ""apple and fork, an unlikely pair."""
"one sentence of 5 words about cup and person, the 5 words should be between double quotes.",5,,,"""the person drank from the cup.""","a sign written on it ""the person drank from the cup."""
"one sentence of 5 words about sheep and chair, the 5 words should be between double quotes.",5,,,"""sheep don't sit on chairs.""","a sign written on it ""sheep don't sit on chairs."""
"one sentence of 6 words about sports ball and toilet, the 6 words should be between double quotes.",6,,,"""sports ball in toilet, not funny.""","a sign written on it ""sports ball in toilet, not funny."""
"one sentence of 4 words about tie and teddy bear, the 4 words should be between double quotes.",4,,,"""tie and teddy bear match.""","a sign written on it ""tie and teddy bear match."""
"one sentence of 6 words about frisbee and refrigerator, the 6 words should be between double quotes.",6,,,"""frisbee and refrigerator don't mix.""","a sign written on it ""frisbee and refrigerator don't mix."""
"one sentence of 5 words about baseball glove and teddy bear, the 5 words should be between double quotes.",5,,,"""baseball glove and teddy bear.""","a sign written on it ""baseball glove and teddy bear."""
"one sentence of 5 words about toilet and baseball glove, the 5 words should be between double quotes.",5,,,"""toilet and baseball glove don't mix.""","a sign written on it ""toilet and baseball glove don't mix."""
"one sentence of 5 words about sandwich and microwave, the 5 words should be between double quotes.",5,,,"""sandwich and microwave: yum!""","a sign written on it ""sandwich and microwave: yum!"""
"one sentence of 6 words about fork and cake, the 6 words should be between double quotes.",6,,,"""fork and cake, a delicious combo!""","a sign written on it ""fork and cake, a delicious combo!"""
"one sentence of 5 words about giraffe and sandwich, the 5 words should be between double quotes.",5,,,"""giraffes eat sandwiches too!""","a sign written on it ""giraffes eat sandwiches too!"""
"one sentence of 6 words about oven and remote, the 6 words should be between double quotes.",6,,,"""remote control your oven from afar.""","a sign written on it ""remote control your oven from afar."""
"one sentence of 4 words about banana and knife, the 4 words should be between double quotes.",4,,,"""banana and knife don't mix.""","a sign written on it ""banana and knife don't mix."""
"one sentence of 4 words about cell phone and toothbrush, the 4 words should be between double quotes.",4,,,"""cell phone, toothbrush combo!""","a sign written on it ""cell phone, toothbrush combo!"""
"one sentence of 5 words about traffic light and surfboard, the 5 words should be between double quotes.",5,,,"""traffic light and surfboard mix.""","a sign written on it ""traffic light and surfboard mix."""
"one sentence of 6 words about cup and spoon, the 6 words should be between double quotes.",6,,,"""cup and spoon, a perfect pair!""","a sign written on it ""cup and spoon, a perfect pair!"""
"one sentence of 5 words about toothbrush and potted plant, the 5 words should be between double quotes.",5,,,"""toothbrush and potted plant"".","a sign written on it ""toothbrush and potted plant""."
"one sentence of 4 words about fork and toilet, the 4 words should be between double quotes.",4,,,"""fork and toilet don't mix.""","a sign written on it ""fork and toilet don't mix."""
"one sentence of 4 words about baseball glove and bowl, the 4 words should be between double quotes.",4,,,"""baseball glove catches bowl.""","a sign written on it ""baseball glove catches bowl."""
"one sentence of 4 words about person and bicycle, the 4 words should be between double quotes.",4,,,"""person rides bicycle joyfully.""","a sign written on it ""person rides bicycle joyfully."""
"one sentence of 5 words about sports ball and sink, the 5 words should be between double quotes.",5,,,"""sports ball must not sink!""","a sign written on it ""sports ball must not sink!"""
"one sentence of 4 words about refrigerator and boat, the 4 words should be between double quotes.",4,,,"""refrigerator and boat differ.""","a sign written on it ""refrigerator and boat differ."""
"one sentence of 6 words about microwave and horse, the 6 words should be between double quotes.",6,,,"""horse cannot use microwave.""","a sign written on it ""horse cannot use microwave."""
"one sentence of 4 words about cell phone and surfboard, the 4 words should be between double quotes.",4,,,"""cell phone on surfboard!""","a sign written on it ""cell phone on surfboard!"""
"one sentence of 6 words about mouse and frisbee, the 6 words should be between double quotes.",6,,,"""frisbee and mouse: a fun combo!""","a sign written on it ""frisbee and mouse: a fun combo!"""
"one sentence of 5 words about oven and toothbrush, the 5 words should be between double quotes.",5,,,"""oven and toothbrush don't mix.""","a sign written on it ""oven and toothbrush don't mix."""
"one sentence of 6 words about sheep and airplane, the 6 words should be between double quotes.",6,,,"""sheep fly planes? not quite.""","a sign written on it ""sheep fly planes? not quite."""
"one sentence of 4 words about orange and suitcase, the 4 words should be between double quotes.",4,,,"""orange suitcase stands out.""","a sign written on it ""orange suitcase stands out."""
"one sentence of 5 words about dog and teddy bear, the 5 words should be between double quotes.",5,,,"""dog loves teddy bear too.""","a sign written on it ""dog loves teddy bear too."""
"one sentence of 5 words about laptop and handbag, the 5 words should be between double quotes.",5,,,"""laptop and handbag are essentials.""","a sign written on it ""laptop and handbag are essentials."""
"one sentence of 6 words about dining table and person, the 6 words should be between double quotes.",6,,,"""dining together around the table.""","a sign written on it ""dining together around the table."""
"one sentence of 4 words about carrot and oven, the 4 words should be between double quotes.",4,,,"""carrot in the oven!""","a sign written on it ""carrot in the oven!"""
"one sentence of 5 words about sports ball and suitcase, the 5 words should be between double quotes.",5,,,"""sports ball in suitcase ready.""","a sign written on it ""sports ball in suitcase ready."""
"one sentence of 5 words about spoon and remote, the 5 words should be between double quotes.",5,,,"""spoon and remote don't mix.""","a sign written on it ""spoon and remote don't mix."""
"one sentence of 4 words about cell phone and snowboard, the 4 words should be between double quotes.",4,,,"""cell phone and snowboarding"".","a sign written on it ""cell phone and snowboarding""."
"one sentence of 4 words about remote and scissors, the 4 words should be between double quotes.",4,,,"""remote scissors are useful.""","a sign written on it ""remote scissors are useful."""
"one sentence of 6 words about surfboard and stop sign, the 6 words should be between double quotes.",6,,,"""surfboard meets stop sign: halt!""","a sign written on it ""surfboard meets stop sign: halt!"""
"one sentence of 5 words about toothbrush and fire hydrant, the 5 words should be between double quotes.",5,,,"""toothbrush and fire hydrant, huh?""","a sign written on it ""toothbrush and fire hydrant, huh?"""
"one sentence of 5 words about suitcase and pizza, the 5 words should be between double quotes.",5,,,"""suitcase and pizza don't mix.""","a sign written on it ""suitcase and pizza don't mix."""
"one sentence of 5 words about tv and bowl, the 5 words should be between double quotes.",5,,,"""tv and bowl make a perfect night.""","a sign written on it ""tv and bowl make a perfect night."""
"one sentence of 4 words about airplane and umbrella, the 4 words should be between double quotes.",4,,,"""umbrella won't fly plane.""","a sign written on it ""umbrella won't fly plane."""
"one sentence of 6 words about keyboard and baseball bat, the 6 words should be between double quotes.",6,,,"""keyboard, meet baseball bat.""","a sign written on it ""keyboard, meet baseball bat."""
"one sentence of 4 words about boat and tie, the 4 words should be between double quotes.",4,,,"""tie the boat securely.""","a sign written on it ""tie the boat securely."""
"one sentence of 6 words about toilet and surfboard, the 6 words should be between double quotes.",6,,,"""toilet and surfboard: opposites attract.""","a sign written on it ""toilet and surfboard: opposites attract."""
"one sentence of 4 words about boat and sheep, the 4 words should be between double quotes.",4,,,"""sheep on a boat!""","a sign written on it ""sheep on a boat!"""
"one sentence of 6 words about hot dog and tie, the 6 words should be between double quotes.",6,,,"""hot dog and tie: classic combo!""","a sign written on it ""hot dog and tie: classic combo!"""
"one sentence of 6 words about toaster and hot dog, the 6 words should be between double quotes.",6,,,"""toaster heats hot dogs quickly.""","a sign written on it ""toaster heats hot dogs quickly."""
"one sentence of 5 words about couch and skis, the 5 words should be between double quotes.",5,,,"""couch and skis don't mix.""","a sign written on it ""couch and skis don't mix."""
"one sentence of 4 words about toaster and banana, the 4 words should be between double quotes.",4,,,"""toaster and banana don't mix.""","a sign written on it ""toaster and banana don't mix."""
"one sentence of 4 words about hot dog and dining table, the 4 words should be between double quotes.",4,,,"""hot dog on dining table.""","a sign written on it ""hot dog on dining table."""
"one sentence of 5 words about fire hydrant and traffic light, the 5 words should be between double quotes.",5,,,"""fire hydrant and traffic light.""","a sign written on it ""fire hydrant and traffic light."""
"one sentence of 6 words about horse and bed, the 6 words should be between double quotes.",6,,,"""horse slept in a bed.""","a sign written on it ""horse slept in a bed."""
"one sentence of 6 words about backpack and cat, the 6 words should be between double quotes.",6,,,"""backpack and cat, a purrfect pair!""","a sign written on it ""backpack and cat, a purrfect pair!"""
"one sentence of 5 words about book and umbrella, the 5 words should be between double quotes.",5,,,"""umbrella keeps book dry outdoors.""","a sign written on it ""umbrella keeps book dry outdoors."""
"one sentence of 6 words about backpack and motorcycle, the 6 words should be between double quotes.",6,,,"""backpack on a motorcycle - freedom.""","a sign written on it ""backpack on a motorcycle - freedom."""
"one sentence of 5 words about person and orange, the 5 words should be between double quotes.",5,,,"""person loves eating orange fruit.""","a sign written on it ""person loves eating orange fruit."""
"one sentence of 6 words about baseball bat and sink, the 6 words should be between double quotes.",6,,,"""baseball bat sinks in water.""","a sign written on it ""baseball bat sinks in water."""
"one sentence of 4 words about traffic light and toaster, the 4 words should be between double quotes.",4,,,"""traffic lights and toasters.""","a sign written on it ""traffic lights and toasters."""
"one sentence of 4 words about orange and toothbrush, the 4 words should be between double quotes.",4,,,"""orange toothbrush is unique.""","a sign written on it ""orange toothbrush is unique."""
"one sentence of 6 words about train and surfboard, the 6 words should be between double quotes.",6,,,"""train rides, surfboard glides!""","a sign written on it ""train rides, surfboard glides!"""
"one sentence of 5 words about apple and broccoli, the 5 words should be between double quotes.",5,,,"""apple and broccoli taste different.""","a sign written on it ""apple and broccoli taste different."""
"one sentence of 5 words about dining table and teddy bear, the 5 words should be between double quotes.",5,,,"""dining table and teddy bear.""","a sign written on it ""dining table and teddy bear."""
"one sentence of 6 words about skateboard and toilet, the 6 words should be between double quotes.",6,,,"""skateboarding in the toilet? no way!""","a sign written on it ""skateboarding in the toilet? no way!"""
"one sentence of 6 words about kite and carrot, the 6 words should be between double quotes.",6,,,"""kite loves carrot juice!""","a sign written on it ""kite loves carrot juice!"""
"one sentence of 5 words about umbrella and cell phone, the 5 words should be between double quotes.",5,,,"""umbrella and cell phone, inseparable.""","a sign written on it ""umbrella and cell phone, inseparable."""
"one sentence of 5 words about remote and clock, the 5 words should be between double quotes.",5,,,"""remote sets clock with ease.""","a sign written on it ""remote sets clock with ease."""
"one sentence of 5 words about truck and laptop, the 5 words should be between double quotes.",5,,,"""truck and laptop are unrelated.""","a sign written on it ""truck and laptop are unrelated."""
"one sentence of 4 words about snowboard and skateboard, the 4 words should be between double quotes.",4,,,"""skate and snowboard fun!""","a sign written on it ""skate and snowboard fun!"""
"one sentence of 5 words about bird and cow, the 5 words should be between double quotes.",5,,,"""birds fly, cows moo.""","a sign written on it ""birds fly, cows moo."""
"one sentence of 5 words about clock and bus, the 5 words should be between double quotes.",5,,,"""clock and bus never wait.""","a sign written on it ""clock and bus never wait."""
"one sentence of 5 words about hot dog and elephant, the 5 words should be between double quotes.",5,,,"""hot dog and elephant, unlikely pair.""","a sign written on it ""hot dog and elephant, unlikely pair."""
"one sentence of 6 words about hair drier and orange, the 6 words should be between double quotes.",6,,,"""hair drier and orange, a strange combo.""","a sign written on it ""hair drier and orange, a strange combo."""
"one sentence of 6 words about bird and snowboard, the 6 words should be between double quotes.",6,,,"""birds soar, snowboarders shred!""","a sign written on it ""birds soar, snowboarders shred!"""
"one sentence of 6 words about toothbrush and clock, the 6 words should be between double quotes.",6,,,"""brushing teeth, time flies quickly.""","a sign written on it ""brushing teeth, time flies quickly."""
"one sentence of 6 words about mouse and knife, the 6 words should be between double quotes.",6,,,"""mouse scurries away from knife.""","a sign written on it ""mouse scurries away from knife."""
"one sentence of 6 words about tennis racket and bottle, the 6 words should be between double quotes.",6,,,"""tennis racket and bottle, unlikely duo.""","a sign written on it ""tennis racket and bottle, unlikely duo."""
"one sentence of 4 words about fork and cat, the 4 words should be between double quotes.",4,,,"""fork and cat don't mix.""","a sign written on it ""fork and cat don't mix."""
"one sentence of 6 words about elephant and surfboard, the 6 words should be between double quotes.",6,,,"""elephant rides a surfboard!""","a sign written on it ""elephant rides a surfboard!"""
"one sentence of 5 words about train and sink, the 5 words should be between double quotes.",5,,,"""train sinks into the sea.""","a sign written on it ""train sinks into the sea."""
"one sentence of 6 words about book and bicycle, the 6 words should be between double quotes.",6,,,"""biking with a book is blissful.""","a sign written on it ""biking with a book is blissful."""
"one sentence of 4 words about book and train, the 4 words should be between double quotes.",4,,,"""book and train journey.""","a sign written on it ""book and train journey."""
"one sentence of 5 words about oven and tv, the 5 words should be between double quotes.",5,,,"""oven and tv: two essentials.""","a sign written on it ""oven and tv: two essentials."""
"one sentence of 5 words about zebra and boat, the 5 words should be between double quotes.",5,,,"""zebra rides a boat, wow!""","a sign written on it ""zebra rides a boat, wow!"""
"one sentence of 6 words about parking meter and banana, the 6 words should be between double quotes.",6,,,"""parking meter and banana? weird!""","a sign written on it ""parking meter and banana? weird!"""
"one sentence of 5 words about cat and stop sign, the 5 words should be between double quotes.",5,,,"""cats love chasing stop signs.""","a sign written on it ""cats love chasing stop signs."""
"one sentence of 5 words about microwave and cake, the 5 words should be between double quotes.",5,,,"""microwave makes cake quickly delicious.""","a sign written on it ""microwave makes cake quickly delicious."""
"one sentence of 4 words about skis and microwave, the 4 words should be between double quotes.",4,,,"""skiing and microwaving""","a sign written on it ""skiing and microwaving"""
"one sentence of 5 words about umbrella and train, the 5 words should be between double quotes.",5,,,"""umbrella on the train ride.""","a sign written on it ""umbrella on the train ride."""
"one sentence of 5 words about broccoli and skis, the 5 words should be between double quotes.",5,,,"""broccoli and skis don't mix.""","a sign written on it ""broccoli and skis don't mix."""
"one sentence of 4 words about donut and motorcycle, the 4 words should be between double quotes.",4,,,"""donut and motorcycle mix.""","a sign written on it ""donut and motorcycle mix."""
"one sentence of 5 words about zebra and vase, the 5 words should be between double quotes.",5,,,"""zebra and vase make contrast.""","a sign written on it ""zebra and vase make contrast."""
"one sentence of 6 words about motorcycle and airplane, the 6 words should be between double quotes.",6,,,"""motorcycles and airplanes soar differently.""","a sign written on it ""motorcycles and airplanes soar differently."""
"one sentence of 5 words about potted plant and tie, the 5 words should be between double quotes.",5,,,"""potted plants add ""tie"" together.""","a sign written on it ""potted plants add ""tie"" together."""
"one sentence of 6 words about bottle and bicycle, the 6 words should be between double quotes.",6,,,"""bottle and bicycle, two essential items.""","a sign written on it ""bottle and bicycle, two essential items."""
"one sentence of 6 words about dining table and sports ball, the 6 words should be between double quotes.",6,,,"""dining table, sports ball, two worlds.""","a sign written on it ""dining table, sports ball, two worlds."""
"one sentence of 4 words about car and bicycle, the 4 words should be between double quotes.",4,,,"""cars and bicycles coexist.""","a sign written on it ""cars and bicycles coexist."""
"one sentence of 4 words about dining table and kite, the 4 words should be between double quotes.",4,,,"""kite and dining table.""","a sign written on it ""kite and dining table."""
"one sentence of 5 words about cake and toilet, the 5 words should be between double quotes.",5,,,"""cake and toilet don't mix.""","a sign written on it ""cake and toilet don't mix."""
"one sentence of 4 words about mouse and kite, the 4 words should be between double quotes.",4,,,"""mouse flies kite happily.""","a sign written on it ""mouse flies kite happily."""
"one sentence of 6 words about train and cow, the 6 words should be between double quotes.",6,,,"""train whistles, cows mooing.""","a sign written on it ""train whistles, cows mooing."""
"one sentence of 5 words about carrot and tennis racket, the 5 words should be between double quotes.",5,,,"""carrot and tennis racket, odd combo.""","a sign written on it ""carrot and tennis racket, odd combo."""
"one sentence of 5 words about microwave and suitcase, the 5 words should be between double quotes.",5,,,"""microwave: not suitable for suitcase.""","a sign written on it ""microwave: not suitable for suitcase."""
"one sentence of 4 words about apple and broccoli, the 4 words should be between double quotes.",4,,,"""apple and broccoli combine.""","a sign written on it ""apple and broccoli combine."""
"one sentence of 4 words about skis and baseball glove, the 4 words should be between double quotes.",4,,,"""skiing and baseballing.""","a sign written on it ""skiing and baseballing."""
"one sentence of 4 words about apple and remote, the 4 words should be between double quotes.",4,,,"""apple and remote work well.""","a sign written on it ""apple and remote work well."""
"one sentence of 5 words about elephant and refrigerator, the 5 words should be between double quotes.",5,,,"""elephants and refrigerators don't mix.""","a sign written on it ""elephants and refrigerators don't mix."""
"one sentence of 5 words about dog and bowl, the 5 words should be between double quotes.",5,,,"""a ""dog"" and its ""bowl"".""","a sign written on it ""a ""dog"" and its ""bowl""."""
"one sentence of 4 words about fire hydrant and toaster, the 4 words should be between double quotes.",4,,,"""fire hydrant toasts bread.""","a sign written on it ""fire hydrant toasts bread."""
"one sentence of 4 words about tv and cup, the 4 words should be between double quotes.",4,,,"""cup on the tv.""","a sign written on it ""cup on the tv."""
"one sentence of 6 words about toaster and mouse, the 6 words should be between double quotes.",6,,,"""toaster and mouse, an unlikely pair.""","a sign written on it ""toaster and mouse, an unlikely pair."""
"one sentence of 6 words about microwave and bowl, the 6 words should be between double quotes.",6,,,"""microwave heats up bowl quickly.""","a sign written on it ""microwave heats up bowl quickly."""
"one sentence of 5 words about umbrella and spoon, the 5 words should be between double quotes.",5,,,"""umbrella and spoon, together odd.""","a sign written on it ""umbrella and spoon, together odd."""
"one sentence of 6 words about laptop and cow, the 6 words should be between double quotes.",6,,,"""laptop and cow, two opposites.""","a sign written on it ""laptop and cow, two opposites."""
"one sentence of 5 words about suitcase and baseball glove, the 5 words should be between double quotes.",5,,,"""suitcase and baseball glove go hand-in-hand.""","a sign written on it ""suitcase and baseball glove go hand-in-hand."""
"one sentence of 5 words about keyboard and fork, the 5 words should be between double quotes.",5,,,"""keyboard and fork don't mix.""","a sign written on it ""keyboard and fork don't mix."""
"one sentence of 6 words about dining table and potted plant, the 6 words should be between double quotes.",6,,,"""dining table and potted plant.""","a sign written on it ""dining table and potted plant."""
"one sentence of 6 words about car and hair drier, the 6 words should be between double quotes.",6,,,"""car and hair drier, two opposites.""","a sign written on it ""car and hair drier, two opposites."""
"one sentence of 5 words about bowl and cow, the 5 words should be between double quotes.",5,,,"""bowl and cow, an unlikely pair.""","a sign written on it ""bowl and cow, an unlikely pair."""
"one sentence of 4 words about clock and bed, the 4 words should be between double quotes.",4,,,"""sleep is a priority.""","a sign written on it ""sleep is a priority."""
"one sentence of 6 words about wine glass and orange, the 6 words should be between double quotes.",6,,,"""a ""wine glass"" and ""orange"" pairing.""","a sign written on it ""a ""wine glass"" and ""orange"" pairing."""
"one sentence of 4 words about teddy bear and handbag, the 4 words should be between double quotes.",4,,,"""teddy bear and handbag.""","a sign written on it ""teddy bear and handbag."""
"one sentence of 5 words about parking meter and couch, the 5 words should be between double quotes.",5,,,"""parking meter and couch don't mix.""","a sign written on it ""parking meter and couch don't mix."""
"one sentence of 5 words about bed and car, the 5 words should be between double quotes.",5,,,"""bed and car are unrelated objects.""","a sign written on it ""bed and car are unrelated objects."""
"one sentence of 5 words about traffic light and train, the 5 words should be between double quotes.",5,,,"""train waits for red traffic light.""","a sign written on it ""train waits for red traffic light."""
"one sentence of 6 words about surfboard and hot dog, the 6 words should be between double quotes.",6,,,"""surfboard and hot dog, yum!""","a sign written on it ""surfboard and hot dog, yum!"""
"one sentence of 5 words about frisbee and remote, the 5 words should be between double quotes.",5,,,"""remote frisbee is fun to play!""","a sign written on it ""remote frisbee is fun to play!"""
"one sentence of 4 words about tv and truck, the 4 words should be between double quotes.",4,,,"""trucks on television shows""","a sign written on it ""trucks on television shows"""
"one sentence of 4 words about couch and carrot, the 4 words should be between double quotes.",4,,,"""couch and carrot don't mix.""","a sign written on it ""couch and carrot don't mix."""
"one sentence of 5 words about bear and parking meter, the 5 words should be between double quotes.",5,,,"""bear can't use parking meter.""","a sign written on it ""bear can't use parking meter."""
"one sentence of 4 words about fork and bird, the 4 words should be between double quotes.",4,,,"""fork and bird coexist.""","a sign written on it ""fork and bird coexist."""
