meta_prompt,obj1,obj2,obj3,synthetic_prompt
"In one sentence, Describe a scene about persons and spoon and teddy bear.",spoon,teddy bear,,"a group of people are gathered around a table, each holding a spoon and a teddy bear."
"In one sentence, Describe a scene about persons and airplane and refrigerator.",airplane,refrigerator,,a group of people are standing around an airplane and a refrigerator in an airport hangar.
"In one sentence, Describe a scene about persons and teddy bear and skateboard.",teddy bear,skateboard,,"a group of people are gathered around a teddy bear on a skateboard, laughing and enjoying themselves."
"In one sentence, Describe a scene about persons and laptop and tie.",laptop,tie,,"a group of people in a conference room, each with a laptop open in front of them, wearing ties and discussing business."
"In one sentence, Describe a scene about persons and tennis racket and pizza.",tennis racket,pizza,,a group of friends are laughing and enjoying a pizza while playing a game of tennis with their rackets.
"In one sentence, Describe a scene about persons and hair drier and bear.",hair drier,bear,,a group of people are gathered around a bear while one person dries its fur with a hair dryer.
"In one sentence, Describe a scene about persons and motorcycle and bird.",motorcycle,bird,,a group of people riding motorcycles with a flock of birds flying overhead in a sunny sky.
"In one sentence, Describe a scene about persons and motorcycle and pizza.",motorcycle,pizza,,"a group of people are gathered around a motorcycle, enjoying slices of pizza and laughing."
"In one sentence, Describe a scene about persons and remote and fork.",remote,fork,,"people are sitting around a table, each using their own laptop to remotely access a shared repository on github and work collaboratively on a project using the 'fork' feature."
"In one sentence, Describe a scene about persons and toothbrush and broccoli.",toothbrush,broccoli,,"a group of people are gathered around a table, each holding a toothbrush in one hand and a piece of broccoli in the other."
"In one sentence, Describe a scene about persons and motorcycle and knife.",motorcycle,knife,,a group of people on motorcycles wielding knives are racing through the city streets.
"In one sentence, Describe a scene about persons and wine glass and scissors.",wine glass,scissors,,"a group of people are sitting around a table, laughing and talking while clinking their wine glasses and cutting paper with scissors."
"In one sentence, Describe a scene about persons and backpack and bottle.",backpack,bottle,,"a group of people are walking down a street, each carrying a backpack and a bottle."
"In one sentence, Describe a scene about persons and backpack and hot dog.",backpack,hot dog,,"a group of people are gathered around a picnic table, each with their own backpack, enjoying hot dogs and conversation."
"In one sentence, Describe a scene about persons and giraffe and broccoli.",giraffe,broccoli,,persons are standing around a giraffe eating broccoli from a bowl.
"In one sentence, Describe a scene about persons and cow and apple.",cow,apple,,"a group of people are gathered around a cow, admiring the apple it is eating from a nearby tree."
"In one sentence, Describe a scene about persons and backpack and sports ball.",backpack,sports ball,,"a group of people are playing a game of catch with a sports ball, each person wearing a backpack."
"In one sentence, Describe a scene about persons and donut and chair.",donut,chair,,"a group of people are sitting around a table, eating donuts and chatting happily."
"In one sentence, Describe a scene about persons and baseball bat and snowboard.",baseball bat,snowboard,,a group of people are playing baseball with a bat in the snow while some are snowboarding nearby.
"In one sentence, Describe a scene about persons and tie and vase.",tie,vase,,"a group of people are gathered around a table, each holding a piece of the rope that is tied around a delicate vase in the center."
"In one sentence, Describe a scene about persons and traffic light and cell phone.",traffic light,cell phone,,"a group of people are gathered at a crosswalk, waiting for the traffic light to turn green while simultaneously scrolling through their phones."
"In one sentence, Describe a scene about persons and dining table and bottle.",dining table,bottle,,"at the dining table, a group of people are gathered around, laughing and enjoying each other's company while a bottle of wine sits in the center."
"In one sentence, Describe a scene about persons and banana and suitcase.",banana,suitcase,,a group of people are standing in a circle around a suitcase filled with bananas.
"In one sentence, Describe a scene about persons and cell phone and horse.",cell phone,horse,,"a group of people are gathered around a horse, each of them talking on their cell phones."
"In one sentence, Describe a scene about persons and skateboard and knife.",skateboard,knife,,a group of people are gathered around a skateboarder performing tricks with a knife balanced on the board.
"In one sentence, Describe a scene about persons and toilet and bear.",toilet,bear,,"a group of people are standing in a bathroom, nervously watching a bear perched atop the toilet seat."
"In one sentence, Describe a scene about persons and skis and horse.",skis,horse,,"a group of people are skiing down a snowy mountain, with a horse leading the way."
"In one sentence, Describe a scene about persons and fork and carrot.",fork,carrot,,"a group of people are gathered around a table, each holding a fork and a carrot, ready to enjoy a hearty meal."
"In one sentence, Describe a scene about persons and keyboard and person.",keyboard,person,,"a group of people are gathered around a keyboard, typing away and discussing their ideas."
"In one sentence, Describe a scene about persons and suitcase and bear.",suitcase,bear,,"a group of people are standing in a circle around a large suitcase and a stuffed bear, chatting excitedly."
"In one sentence, Describe a scene about persons and tennis racket and cat.",tennis racket,cat,,"a group of people playing tennis on a sunny day, while a cat curiously watches from a nearby fence."
"In one sentence, Describe a scene about persons and truck and chair.",truck,chair,,"a group of people are standing around a truck, with a chair in the middle of them."
"In one sentence, Describe a scene about persons and bird and bottle.",bird,bottle,,"a group of people are standing around a bird perched on a bottle, admiring its beauty."
"In one sentence, Describe a scene about persons and refrigerator and hot dog.",refrigerator,hot dog,,"a group of people are gathered around a refrigerator, laughing and enjoying hot dogs."
"In one sentence, Describe a scene about persons and cup and carrot.",cup,carrot,,"a group of people are gathered around a table, each holding a cup of carrot soup."
"In one sentence, Describe a scene about persons and banana and scissors.",banana,scissors,,"a group of people are standing around a table with a pile of bananas and scissors, excitedly discussing what to make with them."
"In one sentence, Describe a scene about persons and cat and stop sign.",cat,stop sign,,"a group of people with a cat standing in front of a stop sign, looking around curiously."
"In one sentence, Describe a scene about persons and hot dog and wine glass.",hot dog,wine glass,,"a group of people are gathered around a picnic table, each holding a hot dog in one hand and a wine glass in the other."
"In one sentence, Describe a scene about persons and zebra and car.",zebra,car,,"persons and a zebra are standing around a car in a field, looking confused."
"In one sentence, Describe a scene about persons and umbrella and teddy bear.",umbrella,teddy bear,,"a group of people huddled together under one large umbrella, each holding a teddy bear, on a rainy day."
"In one sentence, Describe a scene about persons and motorcycle and boat.",motorcycle,boat,,"a group of people are riding their motorcycles down a beach, with a boat in the background bobbing in the waves."
"In one sentence, Describe a scene about persons and teddy bear and backpack.",teddy bear,backpack,,"a group of people are gathered around a teddy bear, admiring it and taking pictures with it, as a backpack sits nearby."
"In one sentence, Describe a scene about persons and hot dog and kite.",hot dog,kite,,people are playing with a kite in a park while enjoying hot dogs.
"In one sentence, Describe a scene about persons and horse and keyboard.",horse,keyboard,,"a group of people are gathered around a keyboard, each taking turns riding a horse while playing a tune."
"In one sentence, Describe a scene about persons and cake and zebra.",cake,zebra,,persons are gathered around a table eating cake decorated with zebra stripes.
"In one sentence, Describe a scene about persons and teddy bear and keyboard.",teddy bear,keyboard,,"a group of people are gathered around a keyboard playing music, while a teddy bear sits atop the keys watching and listening."
"In one sentence, Describe a scene about persons and teddy bear and chair.",teddy bear,chair,,"the persons are sitting in a circle around a chair, with a teddy bear perched atop it, smiling at them."
"In one sentence, Describe a scene about persons and kite and potted plant.",kite,potted plant,,"a group of people are gathered in a park, flying kites and admiring a colorful potted plant."
"In one sentence, Describe a scene about persons and bowl and cake.",bowl,cake,,"a group of people are gathered around a bowl filled with cake, laughing and talking."
"In one sentence, Describe a scene about persons and hot dog and zebra.",hot dog,zebra,,a group of people are standing around a picnic table eating hot dogs while a zebra looks on curiously.
"In one sentence, Describe a scene about persons and laptop and tennis racket.",laptop,tennis racket,,"a group of people are sitting around a laptop, discussing something intently while holding tennis rackets in their hands."
"In one sentence, Describe a scene about persons and tie and bus.",tie,bus,,"a busy street corner with people rushing to catch the bus, some stopping to tie their shoes before they do."
"In one sentence, Describe a scene about persons and bottle and chair.",bottle,chair,,"a group of people sitting in chairs around a bottle on a table, talking and laughing."
"In one sentence, Describe a scene about persons and stop sign and cell phone.",stop sign,cell phone,,"a group of people are standing at a stop sign, some talking on their cell phones and others looking around."
"In one sentence, Describe a scene about persons and toilet and book.",toilet,book,,"a group of people are gathered around a toilet, all reading a book together in an awkward yet strangely cozy atmosphere."
"In one sentence, Describe a scene about persons and cow and mouse.",cow,mouse,,"a group of people are standing in a field, watching a cow grazing peacefully with a mouse scurrying around its feet."
"In one sentence, Describe a scene about persons and banana and skateboard.",banana,skateboard,,persons are skating around on skateboards while eating bananas.
"In one sentence, Describe a scene about persons and airplane and bus.",airplane,bus,,"a group of people are standing in a busy airport, watching planes taking off and buses arriving to pick up passengers."
"In one sentence, Describe a scene about persons and tv and sports ball.",tv,sports ball,,"a group of people are gathered around a television, cheering and laughing as they watch a sports game while eating snacks."
"In one sentence, Describe a scene about persons and sports ball and apple.",sports ball,apple,,"a group of people playing a sport with a ball in a park, eating apples in between turns."
"In one sentence, Describe a scene about persons and skis and wine glass.",skis,wine glass,,"a group of people are gathered around a fire, chatting and laughing, while some ski on the nearby slopes and others sip wine from delicate glasses."
"In one sentence, Describe a scene about persons and remote and suitcase.",remote,suitcase,,"a group of people are standing around a suitcase, each holding a remote and eagerly awaiting the results of their experiment."
"In one sentence, Describe a scene about persons and giraffe and person.",giraffe,person,,"a group of people are standing in a circle around a giraffe, marveling at its size and beauty."
"In one sentence, Describe a scene about persons and refrigerator and cell phone.",refrigerator,cell phone,,persons are gathered around a refrigerator looking at their cell phones.
"In one sentence, Describe a scene about persons and toilet and car.",toilet,car,,"a group of people are standing in a parking lot, with a car parked nearby and a public toilet nearby."
"In one sentence, Describe a scene about persons and traffic light and knife.",traffic light,knife,,"a group of people are standing at a traffic light, nervously eyeing a knife that is lying on the ground."
"In one sentence, Describe a scene about persons and elephant and bus.",elephant,bus,,a scene of a busy street with a large elephant walking alongside a bus full of people.
"In one sentence, Describe a scene about persons and bus and bicycle.",bus,bicycle,,"a busy street scene with people walking, a bus passing by, and a cyclist riding a bicycle."
"In one sentence, Describe a scene about persons and toothbrush and car.",toothbrush,car,,"a group of people are brushing their teeth in a parking lot, surrounded by cars."
"In one sentence, Describe a scene about persons and horse and sheep.",horse,sheep,,a group of people are standing in a field surrounded by a horse and a flock of sheep grazing in the sunshine.
"In one sentence, Describe a scene about persons and oven and remote.",oven,remote,,"a group of people gathered around an oven, using a remote to adjust the temperature and cooking time."
"In one sentence, Describe a scene about persons and bear and frisbee.",bear,frisbee,,"a group of people are gathered in a park, laughing and playing with a bear who is running around chasing a frisbee."
"In one sentence, Describe a scene about persons and handbag and surfboard.",handbag,surfboard,,"a group of people are walking down the beach, each carrying a brightly-colored handbag and a surfboard."
"In one sentence, Describe a scene about persons and sink and dog.",sink,dog,,"a group of people are gathered around a sink, washing their hands, while a dog eagerly looks on, hoping for a few scraps."
"In one sentence, Describe a scene about persons and train and keyboard.",train,keyboard,,"a group of people are sitting around a keyboard on a train, playing music and laughing."
"In one sentence, Describe a scene about persons and toothbrush and fire hydrant.",toothbrush,fire hydrant,,a group of people are gathered around a fire hydrant brushing their teeth with toothbrushes.
"In one sentence, Describe a scene about persons and skateboard and book.",skateboard,book,,a group of people skateboarding around a park while some of them read books in the shade of a nearby tree.
"In one sentence, Describe a scene about persons and tie and skis.",tie,skis,,"a group of people are gathered around a pile of skis and snowboards, laughing and chatting as they prepare to hit the slopes with their newly tied skis."
"In one sentence, Describe a scene about persons and dog and bear.",dog,bear,,"a group of people are standing around a campfire, with a friendly dog and bear snuggling up to each other nearby."
"In one sentence, Describe a scene about persons and horse and train.",horse,train,,"a group of people stand on a platform, watching a majestic horse galloping alongside a large train as it passes by."
"In one sentence, Describe a scene about persons and umbrella and potted plant.",umbrella,potted plant,,"a group of people are standing under an umbrella, chatting and admiring the potted plant beside them."
"In one sentence, Describe a scene about persons and bottle and bench.",bottle,bench,,"a group of people are gathered around a bench, talking and laughing while holding bottles of soda."
"In one sentence, Describe a scene about persons and train and zebra.",train,zebra,,"a group of people stand at a train station, watching a zebra gallop across the tracks in the distance."
"In one sentence, Describe a scene about persons and hot dog and sheep.",hot dog,sheep,,"a group of people are gathered around a barbecue, enjoying hot dogs and watching a flock of sheep grazing in the nearby field."
"In one sentence, Describe a scene about persons and skis and hot dog.",skis,hot dog,,"a group of people are skiing down a snowy mountain, laughing and enjoying the view, while munching on delicious hot dogs."
"In one sentence, Describe a scene about persons and kite and bench.",kite,bench,,"a group of people are gathered around a bench, flying colorful kites in a sunny park."
"In one sentence, Describe a scene about persons and tv and scissors.",tv,scissors,,"a group of people are gathered around a television, laughing and cutting paper with scissors."
"In one sentence, Describe a scene about persons and keyboard and tie.",keyboard,tie,,"a group of people are gathered around a keyboard, each wearing a different colored tie and typing away."
"In one sentence, Describe a scene about persons and bowl and motorcycle.",bowl,motorcycle,,"a group of people are gathered around a motorcycle, admiring its shiny chrome and custom paint job, while a bowl of popcorn sits nearby."
"In one sentence, Describe a scene about persons and skis and wine glass.",skis,wine glass,,"a group of people are skiing down a mountain while holding wine glasses in their hands, laughing and enjoying the scenery."
"In one sentence, Describe a scene about persons and truck and orange.",truck,orange,,"a group of people are loading a truck with oranges, laughing and joking as they work."
"In one sentence, Describe a scene about persons and vase and skis.",vase,skis,,"a group of people are gathered around a large vase, admiring the intricate designs while their skis lean against the wall in the background."
"In one sentence, Describe a scene about persons and bicycle and skis.",bicycle,skis,,"a group of people are gathered at a ski resort, enjoying the winter weather as some ride bicycles and others ski down the slopes."
"In one sentence, Describe a scene about persons and skateboard and elephant.",skateboard,elephant,,"a group of people are skateboarding around an elephant, laughing and having a good time."
"In one sentence, Describe a scene about persons and couch and orange.",couch,orange,,"a group of people are sitting on a comfortable orange couch, chatting and laughing."
"In one sentence, Describe a scene about persons and sink and cow.",sink,cow,,"a group of people are gathered around a sink and a cow, laughing and talking."
"In one sentence, Describe a scene about persons and potted plant and sports ball.",potted plant,sports ball,,"a group of people are gathered around a potted plant and a sports ball, chatting and laughing."
"In one sentence, Describe a scene about persons and truck and clock.",truck,clock,,"a group of people are standing around a large truck, watching the clock tick away the seconds until it is time to go."
"In one sentence, Describe a scene about persons and backpack and toaster.",backpack,toaster,,"a group of people are gathered around a picnic blanket, each with a backpack and a toaster, laughing and talking."
"In one sentence, Describe a scene about persons and banana and bicycle.",banana,bicycle,,a group of people are riding bicycles and eating bananas in a sunny park.
"In one sentence, Describe a scene about persons and giraffe and bowl.",giraffe,bowl,,"a group of people are gathered around a bowl, watching a giraffe reaching its long neck in to grab pieces of food from it."
"In one sentence, Describe a scene about persons and tennis racket and train.",tennis racket,train,,"persons are running around a court with tennis rackets, while a train passes by in the background."
"In one sentence, Describe a scene about persons and vase and cat.",vase,cat,,"a group of people are gathered around a vase with a cat perched atop it, looking curiously at the scene."
"In one sentence, Describe a scene about persons and wine glass and umbrella.",wine glass,umbrella,,"a group of people are gathered under an umbrella, laughing and clinking wine glasses together."
"In one sentence, Describe a scene about persons and traffic light and bench.",traffic light,bench,,"at a busy intersection, there are several people waiting on a bench for the traffic light to turn green while cars and buses pass by."
"In one sentence, Describe a scene about persons and scissors and carrot.",scissors,carrot,,"a group of people are gathered around a table, each holding a pair of scissors and a carrot, ready to start a competition to see who can create the most creative carrot sculptures."
"In one sentence, Describe a scene about persons and giraffe and umbrella.",giraffe,umbrella,,"a group of people walking down a street, with a giraffe in the center of them, holding an umbrella over their heads."
"In one sentence, Describe a scene about persons and umbrella and book.",umbrella,book,,"a group of people are huddled together under a single umbrella, each of them reading a different book."
"In one sentence, Describe a scene about persons and chair and orange.",chair,orange,,a group of people are sitting in chairs around a table with an orange in the middle.
"In one sentence, Describe a scene about persons and toilet and pizza.",toilet,pizza,,"a group of people are gathered around a toilet, each with a slice of pizza in hand, laughing and talking."
"In one sentence, Describe a scene about persons and tennis racket and traffic light.",tennis racket,traffic light,,"persons are playing tennis with rackets at a traffic light, waiting for it to turn green."
"In one sentence, Describe a scene about persons and pizza and spoon.",pizza,spoon,,"a group of friends gathered around a table, laughing and eating pizza with spoons."
"In one sentence, Describe a scene about persons and dining table and toothbrush.",dining table,toothbrush,,"at the dining table, a group of people are enjoying their meal while a toothbrush sits forgotten on the side."
"In one sentence, Describe a scene about persons and truck and traffic light.",truck,traffic light,,"persons are standing at a traffic light, watching a truck pass by."
"In one sentence, Describe a scene about persons and cell phone and skateboard.",cell phone,skateboard,,"a group of teenagers are sitting on the sidewalk, talking and texting on their cell phones while skateboarding around them."
"In one sentence, Describe a scene about persons and laptop and cup.",laptop,cup,,"a group of people sitting around a table with laptops open and cups of coffee in front of them, working together."
"In one sentence, Describe a scene about persons and frisbee and wine glass.",frisbee,wine glass,,"a group of friends are gathered in a park, laughing and throwing a frisbee around, while holding onto their wine glasses."
"In one sentence, Describe a scene about persons and car and dining table.",car,dining table,,"a group of people are gathered around a dining table, talking and laughing as a car passes by outside."
"In one sentence, Describe a scene about persons and suitcase and potted plant.",suitcase,potted plant,,"a group of people are standing together in a room, each with a suitcase in one hand and a potted plant in the other."
"In one sentence, Describe a scene about persons and bed and motorcycle.",bed,motorcycle,,a group of people are gathered around a bed with a motorcycle parked next to it.
"In one sentence, Describe a scene about persons and banana and cow.",banana,cow,,"a group of people are standing in a field, surrounded by a cow and a banana tree with ripe bananas."
"In one sentence, Describe a scene about persons and cow and fork.",cow,fork,,"a group of people are standing around a cow, each holding a fork and looking at it curiously."
"In one sentence, Describe a scene about persons, bird, zebra and chair.",bird,zebra,chair,"a scene of a group of people gathered around a zebra, a bird perched on a chair, and a chair nearby."
"In one sentence, Describe a scene about persons, sheep, stop sign and elephant.",sheep,stop sign,elephant,"a scene of a group of people standing in a field surrounded by sheep, with a stop sign in the background and an elephant in the distance."
"In one sentence, Describe a scene about persons, scissors, bench and airplane.",scissors,bench,airplane,"the persons are sitting on the bench, cutting paper airplanes out of the scissors."
"In one sentence, Describe a scene about persons, knife, scissors and bird.",knife,scissors,bird,"a group of people are standing around a table with a knife, scissors and a bird perched on the edge, watching intently."
"In one sentence, Describe a scene about persons, potted plant, surfboard and remote.",potted plant,surfboard,remote,"a group of people are gathered around a potted plant, a surfboard, and a remote, talking and laughing."
"In one sentence, Describe a scene about persons, cup, stop sign and suitcase.",cup,stop sign,suitcase,"people are standing around a red stop sign, holding cups of coffee, talking and laughing, while a suitcase sits nearby."
"In one sentence, Describe a scene about persons, motorcycle, kite and tie.",motorcycle,kite,tie,"a group of people are enjoying a sunny day, with one person riding a motorcycle, another flying a kite, and a third tying a tie."
"In one sentence, Describe a scene about persons, kite, tennis racket and cow.",kite,tennis racket,cow,"a group of people are flying kites, playing tennis, and watching a cow graze in a sunny meadow."
"In one sentence, Describe a scene about persons, cow, clock and hot dog.",cow,clock,hot dog,"a group of people are gathered around a cow, a hot dog stand, and a clock, enjoying the hot dogs and chatting."
"In one sentence, Describe a scene about persons, cake, motorcycle and bicycle.",cake,motorcycle,bicycle,"a group of people are gathered around a cake, while a motorcycle and a bicycle are parked nearby."
"In one sentence, Describe a scene about persons, cat, truck and refrigerator.",cat,truck,refrigerator,the persons are loading the refrigerator onto the truck while the cat watches curiously.
"In one sentence, Describe a scene about persons, spoon, car and bench.",spoon,car,bench,"a group of people are sitting on a bench, eating ice cream with spoons while a car drives by in the background."
"In one sentence, Describe a scene about persons, bottle, dining table and boat.",bottle,dining table,boat,"the persons are sitting around the dining table, drinking from bottles while looking out at the boat in the distance."
"In one sentence, Describe a scene about persons, teddy bear, bus and backpack.",teddy bear,bus,backpack,"the scene is of a group of people boarding a bus, each carrying a backpack and a teddy bear."
"In one sentence, Describe a scene about persons, bicycle, cat and broccoli.",bicycle,cat,broccoli,"a group of people riding bicycles, a cat chasing a broccoli around them."
"In one sentence, Describe a scene about persons, broccoli, couch and banana.",broccoli,couch,banana,"the persons are sitting on the couch, eating broccoli and banana."
"In one sentence, Describe a scene about persons, banana, tennis racket and kite.",banana,tennis racket,kite,"a group of people are playing with a kite, eating bananas, and hitting a tennis ball back and forth with a racket."
"In one sentence, Describe a scene about persons, orange, parking meter and zebra.",orange,parking meter,zebra,"a group of people are standing around an orange parking meter, staring at a zebra in the distance."
"In one sentence, Describe a scene about persons, oven, cat and bed.",oven,cat,bed,"the persons were lounging in bed, while the cat napped on the oven and the oven hummed softly."
"In one sentence, Describe a scene about persons, boat, teddy bear and keyboard.",boat,teddy bear,keyboard,"a group of people are on a boat, playing music on a keyboard, while a teddy bear looks on contentedly."
"In one sentence, Describe a scene about persons, carrot, teddy bear and cake.",carrot,teddy bear,cake,"the scene is of a group of people laughing and celebrating around a table with a carrot, teddy bear and cake on it."
"In one sentence, Describe a scene about persons, horse, bed and stop sign.",horse,bed,stop sign,"a group of people are gathered around a bed with a horse tied to a stop sign, talking and laughing."
"In one sentence, Describe a scene about persons, hot dog, person and handbag.",hot dog,person,handbag,"a person is eating a hot dog while another person watches, holding a handbag."
"In one sentence, Describe a scene about persons, kite, oven and sports ball.",kite,oven,sports ball,"a group of people are playing with a sports ball in a park, while a child is flying a kite and the smell of freshly baked bread wafts from a nearby oven."
"In one sentence, Describe a scene about persons, giraffe, dining table and donut.",giraffe,dining table,donut,"a group of people are gathered around a dining table, eating donuts while a giraffe looks on curiously."
"In one sentence, Describe a scene about persons, keyboard, parking meter and cow.",keyboard,parking meter,cow,"a scene of people typing away on keyboards, a parking meter beeping, and a cow grazing nearby."
"In one sentence, Describe a scene about persons, horse, bench and dog.",horse,bench,dog,"a group of people are sitting on a bench, petting a dog, while a horse grazes nearby."
"In one sentence, Describe a scene about persons, cake, bottle and knife.",cake,bottle,knife,"a group of people are gathered around a cake, each with a bottle in one hand and a knife in the other, ready to celebrate."
"In one sentence, Describe a scene about persons, hair drier, laptop and toothbrush.",hair drier,laptop,toothbrush,"a group of people are gathered around a table, each with a laptop, a hairdryer and a toothbrush in front of them."
"In one sentence, Describe a scene about persons, teddy bear, tennis racket and dining table.",teddy bear,tennis racket,dining table,"the scene is of a family gathered around the dining table, with a teddy bear and a tennis racket strewn about, laughing and talking."
"In one sentence, Describe a scene about persons, spoon, clock and traffic light.",spoon,clock,traffic light,"the persons are standing around a spoon, clock and traffic light, chatting and enjoying the moment."
"In one sentence, Describe a scene about persons, baseball bat, frisbee and remote.",baseball bat,frisbee,remote,a group of people in a park playing a game of frisbee with a baseball bat and a remote in hand.
"In one sentence, Describe a scene about persons, skis, tie and bird.",skis,tie,bird,"persons are skiing down a snowy hill with colorful ties fluttering in the wind, while a bird soars above them."
"In one sentence, Describe a scene about persons, cow, toothbrush and hot dog.",cow,toothbrush,hot dog,"persons are standing around a cow, brushing its teeth with a toothbrush while eating a hot dog."
"In one sentence, Describe a scene about persons, cat, oven and carrot.",cat,oven,carrot,the persons are laughing as they watch the cat try to reach the carrot in the oven.
"In one sentence, Describe a scene about persons, train, cat and handbag.",train,cat,handbag,"a crowded train station full of people rushing around, with a cat calmly walking around, a woman clutching her handbag, and a train slowly pulling into the station."
"In one sentence, Describe a scene about persons, toilet, bus and bowl.",toilet,bus,bowl,"a bus full of people stops at a restroom, and a person takes a bowl out of their bag and sets it down on the toilet."
"In one sentence, Describe a scene about persons, sandwich, bottle and broccoli.",sandwich,bottle,broccoli,"a group of people are sitting around a picnic table, eating sandwiches, drinking from bottles, and sharing a plate of broccoli."
"In one sentence, Describe a scene about persons, couch, motorcycle and chair.",couch,motorcycle,chair,"persons are sitting on a couch, a chair and a motorcycle in a crowded room."
"In one sentence, Describe a scene about persons, baseball glove, wine glass and oven.",baseball glove,wine glass,oven,"the persons are gathered around the oven, one of them holding a baseball glove, while another sips from a wine glass."
"In one sentence, Describe a scene about persons, handbag, fork and tennis racket.",handbag,fork,tennis racket,"three persons carrying handbags, a fork and a tennis racket are walking through a park on a sunny day."
"In one sentence, Describe a scene about persons, baseball bat, handbag and spoon.",baseball bat,handbag,spoon,"a group of people are standing in a circle, holding a baseball bat, a handbag, and a spoon."
"In one sentence, Describe a scene about persons, surfboard, banana and wine glass.",surfboard,banana,wine glass,"a group of people are sitting around a beach, enjoying a sunny day with a surfboard, a banana, and a wine glass on the sand."
"In one sentence, Describe a scene about persons, toothbrush, tie and elephant.",toothbrush,tie,elephant,a group of people are standing around an elephant brushing its teeth with a toothbrush while wearing a tie.
"In one sentence, Describe a scene about persons, cat, book and remote.",cat,book,remote,"the scene is of a person sitting on a couch, cuddling a cat, reading a book, and using a remote to turn on the tv."
"In one sentence, Describe a scene about persons, banana, hot dog and potted plant.",banana,hot dog,potted plant,"a chaotic scene of people running around, grabbing a banana, a hot dog, and a potted plant."
"In one sentence, Describe a scene about persons, stop sign, cake and scissors.",stop sign,cake,scissors,"a group of people are gathered around a stop sign, eating a cake that was cut with scissors."
"In one sentence, Describe a scene about persons, bench, chair and apple.",bench,chair,apple,"a group of people are sitting on a bench and a chair, talking and eating an apple."
"In one sentence, Describe a scene about persons, stop sign, umbrella and elephant.",stop sign,umbrella,elephant,"a group of people are standing around a stop sign, holding umbrellas, while an elephant curiously watches them."
"In one sentence, Describe a scene about persons, suitcase, scissors and baseball glove.",suitcase,scissors,baseball glove,"the scene is of three people standing around a suitcase, one holding a pair of scissors while another holds a baseball glove, all looking at each other in confusion."
"In one sentence, Describe a scene about persons, microwave, car and sandwich.",microwave,car,sandwich,"the three persons were in the car, one of them eating a sandwich heated up in the microwave they had brought along."
"In one sentence, Describe a scene about persons, microwave, tie and orange.",microwave,tie,orange,"a group of people are gathered around a microwave, one of them wearing a tie and holding an orange."
"In one sentence, Describe a scene about persons, tv, snowboard and zebra.",tv,snowboard,zebra,a group of people are gathered around a tv watching a snowboarder ride a zebra down a snowy mountain.
"In one sentence, Describe a scene about persons, banana, sandwich and sink.",banana,sandwich,sink,persons are laughing and talking around a sink while eating banana sandwiches.
"In one sentence, Describe a scene about persons, toilet, orange and truck.",toilet,orange,truck,"a group of people stand around a truck, one of them holding an orange, while another uses the toilet nearby."
"In one sentence, Describe a scene about persons, baseball glove, airplane and surfboard.",baseball glove,airplane,surfboard,a group of people are playing catch with a baseball glove on a beach while a plane flies overhead and a surfer paddles out with a surfboard.
"In one sentence, Describe a scene about persons, toilet, cell phone and toaster.",toilet,cell phone,toaster,"the scene is of three people gathered around a toilet, one talking on their cell phone while the other two are attempting to toast a piece of bread with the toaster perched atop the toilet tank"
"In one sentence, Describe a scene about persons, car, chair and tennis racket.",car,chair,tennis racket,"a group of people are gathered around a car, sitting in chairs and playing tennis with a racket."
"In one sentence, Describe a scene about persons, knife, teddy bear and mouse.",knife,teddy bear,mouse,"the persons are holding the knife, while the teddy bear and mouse watch nervously."
"In one sentence, Describe a scene about persons, person, tie and sports ball.",person,tie,sports ball,"a group of people are playing a game of catch with a tie around their waists, throwing a sports ball back and forth."
"In one sentence, Describe a scene about persons, baseball glove, tie and mouse.",baseball glove,tie,mouse,"a group of people are gathered around a baseball glove, tie, and mouse, discussing the strange combination of items."
"In one sentence, Describe a scene about persons, broccoli, cup and snowboard.",broccoli,cup,snowboard,the persons are skiing down a mountain with a cup of broccoli in one hand and a snowboard in the other.
"In one sentence, Describe a scene about persons, tie, sink and keyboard.",tie,sink,keyboard,"the persons are all gathered around a sink, each wearing a tie and typing away on their keyboards."
"In one sentence, Describe a scene about persons, bus, skateboard and parking meter.",bus,skateboard,parking meter,"a group of people are standing around a parked bus, watching a skateboarder perform tricks in front of a parking meter."
"In one sentence, Describe a scene about persons, horse, bench and mouse.",horse,bench,mouse,"a group of people are gathered around a bench, watching a horse gallop by as a mouse scurries away."
"In one sentence, Describe a scene about persons, baseball bat, carrot and boat.",baseball bat,carrot,boat,"the scene is of three persons on a boat, one holding a baseball bat, another holding a carrot, and the third person looking on."
"In one sentence, Describe a scene about persons, toilet, elephant and handbag.",toilet,elephant,handbag,a chaotic scene of people running around a toilet while an elephant is carrying a handbag in its trunk.
"In one sentence, Describe a scene about persons, horse, train and sink.",horse,train,sink,"persons are running around a horse, a train is passing by and a sink is overflowing with water."
"In one sentence, Describe a scene about persons, skateboard, train and boat.",skateboard,train,boat,a group of people are skateboarding around a train station while a boat passes by in the distance.
"In one sentence, Describe a scene about persons, donut, baseball bat and bird.",donut,baseball bat,bird,"a group of people are standing in a circle around a donut, a baseball bat, and a bird, laughing and talking."
"In one sentence, Describe a scene about persons, tennis racket, banana and potted plant.",tennis racket,banana,potted plant,"a group of people are gathered around a tennis court, each holding a tennis racket, a banana, and a potted plant."
